01	Республика Адыгея
02, 102	Республика Башкортостан
03	Республика Бурятия
04	Республика Алтай
05	Республика Дагестан
06	Республика Ингушетия
07	Кабардино-Балкарская
08	Республика Калмыкия
09	Республика Карачаево-Черкесия
10	Республика Карелия
11	Республика Коми
12	Республика Марий Эл
13,113	Республика Мордовия
14	Республика Саха (Якутия)
15	Республика Северная Осетия - Алания
16, 116	Республика Татарстан
17	Республика Тыва
18	Удмуртская Республика
19	Республика Хакасия
20, 95	Чеченская республика
21, 121	Чувашская Республика
22	Алтайский край
23, 93, 123	Краснодарский край
24, 84, 88, 124	Красноярский край
25, 125	Приморский край
26	Ставропольский край
27, 127	Хабаровский край
28	Амурская область
29	Архангельская область
30	Астраханская область
31	Белгородская область
32	Брянская область
33	Владимирская область
34, 134	Волгоградская область
35	Вологодская область
36, 136	Воронежская область
37	Ивановская область
38, 85, 138	Иркутская область
39, 91	Калининградская область
40	Калужская область
41, 82	Камчатский край
42, 142	Кемеровская область
43	Кировская область
44	Костромская область
45	Курганская область
46	Курская область
47	Ленинградская область
48	Липецкая область
49	Магаданская область
50, 90, 150, 190	Московская область
51	Мурманская область
52, 152	Нижегородская область
53	Новгородская область
54, 154	Новосибирская область
55	Омская область
56	Оренбургская область
57	Орловская область
58	Пензенская область
59, 81, 159	Пермский край
60	Псковская область
61, 161	Ростовская область
62	Рязанская область
63, 163	Самарская область
64, 164	Саратовская область
65	Сахалинская область
66, 96, 196	Свердловская область
67	Смоленская область
68	Тамбовская область
69	Тверская область
70	Томская область
71	Тульская область
72	Тюменская область
73, 173	Ульяновская область
74, 174	Челябинская область
75, 80	Забайкальский край
76	Ярославская область
77, 97, 99, 177, 199, 197	Москва
78, 98, 178	Санкт-Петербург
79	Еврейская автономная область
83	Ненецкий автономный округ
86, 186	Ханты-Мансийский автономный округ Югра
87	Чукотский автономный округ
89	Ямало-Ненецкий автономный округ
